author_type,floor,floors_count,rooms_count,total_meters,price_per_month,district,street,underground
real_estate_agent,57,75,2,105.0,350000,Пресненский,1-й Красногвардейский проезд,Деловой центр
real_estate_agent,6,25,2,35.0,65000,Текстильщики,1-й Грайвороновский проезд,Текстильщики
unknown,2,9,1,35.0,60000,Коньково, Генерала Антонова,Беляево
real_estate_agent,10,20,2,58.4,80000,Марьино,Братиславская ,Братиславская
real_estate_agent,54,75,4,201.0,900000,Пресненский,1-й Красногвардейский проезд,Деловой центр
real_estate_agent,13,15,1,28.0,36800,, Логинова,Щербинка
real_estate_agent,3,6,3,145.0,1300000,Хамовники,Курсовой переулок,Кропоткинская
real_estate_agent,2,5,2,65.0,75900,Люблино,проспект 40 лет Октября,Люблино
real_estate_agent,15,53,2,42.0,125000,Пресненский,Шмитовский проезд,Москва-Сити
real_estate_agent,6,11,3,102.0,350000,Хамовники, Усачева,Фрунзенская
real_estate_agent,3,37,2,65.0,300000,Беговой, 1-я Ямского Поля,Белорусская
real_estate_agent,12,16,1,38.6,76900,, Эдварда Грига,Потапово
real_estate_agent,57,75,2,105.0,400000,Пресненский,1-й Красногвардейский проезд,Деловой центр
real_estate_agent,10,14,3,80.0,110000,Черемушки,Новочеремушкинская ,Новые Черёмушки
real_estate_agent,1,11,3,85.0,300000,Пресненский,Краснопресненская набережная,Краснопресненская
real_estate_agent,4,8,3,107.0,780000,Якиманка,Софийская набережная,Новокузнецкая
real_estate_agent,3,17,1,43.0,70000,Лефортово,Солдатская ,Лефортово
real_estate_agent,6,7,3,71.0,330000,Пресненский,Садовая-Кудринская ,Маяковская
real_estate_agent,11,13,2,60.0,280000,Пресненский,Большая Садовая ,Маяковская
real_estate_agent,5,5,2,50.0,80000,Черемушки, Гарибальди,Новые Черёмушки
real_estate_agent,11,13,2,60.0,280000,Пресненский,Большая Садовая ,Маяковская
real_estate_agent,11,13,2,60.0,280000,Пресненский,Большая Садовая ,Маяковская
real_estate_agent,1,5,1,30.0,70000,Замоскворечье, Малая Ордынка,Третьяковская
real_estate_agent,4,8,3,107.0,780000,Якиманка,Софийская набережная,Новокузнецкая
real_estate_agent,4,4,3,150.0,390000,Басманный,Малый Козловский переулок,Красные ворота
real_estate_agent,4,6,3,138.0,550000,Тверской,1-й Колобовский переулок,Трубная
real_estate_agent,2,12,1,36.8,120000,Раменки,Винницкая ,Раменки
real_estate_agent,8,11,1,19.5,37800,Крюково,проспект Георгиевский,Зеленоград — Крюково
real_estate_agent,10,24,2,58.4,125000,Очаково-Матвеевское,Озерная ,Очаково
real_estate_agent,24,24,2,52.8,80000,Метрогородок,Тагильская ,Бульвар Рокоссовского
homeowner,26,27,1,41.0,75000,Чертаново Южное,Варшавское шоссе,Лесопарковая
real_estate_agent,2,5,2,45.1,64900,Богородское,Бойцовая ,Бульвар Рокоссовского
real_estate_agent,12,25,2,61.3,120000,Фили-Давыдково,Давыдковская ,Славянский бульвар
real_estate_agent,5,9,4,100.0,140000,Сокол,Ленинградский проспект,Сокол
real_estate_agent,4,4,3,150.0,390000,Басманный,Малый Козловский переулок,Красные ворота
realtor,12,14,2,55.0,79000,Измайлово,Измайловский проспект,Измайловская
real_estate_agent,80,95,2,65.0,230000,Пресненский,набережная Пресненская,Деловой центр
real_estate_agent,2,20,3,75.0,140000,Филевский парк,Большая Филевская ,Фили
real_estate_agent,4,6,2,140.0,450000,Хамовники,Бутиковский переулок,Парк Культуры
